Year,Code,Name,TradeVolume,TradeValue,Transaction,HighestPrice,HDate,LowestPrice,LDate,AvgClosingPrice
113,030026,台積電群益51購26,1167000,3911710,239,6.65,7月11日,0.97,5月02日,3.33
113,030027,台積電群益51購27,19269000,23064440,787,5.80,7月11日,0.38,4月22日,2.15
113,030028,台積電群益51購28,6635000,5777890,185,1.54,5月21日,0.02,9月27日,0.75
113,03006P,台積電凱基3C售35,11192000,17283080,1444,4.35,8月06日,0.08,12月06日,1.32
113,03007P,台積電凱基3C售36,9170000,8235750,635,2.23,8月06日,0.01,12月10日,0.80
113,03008P,台積電凱基41售20,5035000,4676600,633,2.50,8月06日,0.10,12月13日,0.90
113,030204,台積電元大52購12,12297000,2212500,269,0.88,4月30日,0.01,9月02日,0.22
113,030205,台積電元大53購03,8804000,8761630,392,2.05,5月27日,0.43,10月11日,1.01
113,030236,台積電富邦53購06,13894000,31267670,128,4.23,10月15日,1.14,4月26日,2.36
113,030265,台積電元富53購06,9508000,7540520,276,1.54,4月25日,0.27,11月25日,0.79
113,030266,台積電元富53購07,2253000,3768990,144,2.38,5月20日,0.19,10月23日,1.56
113,030267,台積電元富53購08,5348000,4018360,225,1.43,6月07日,0.24,12月13日,1.02
113,030268,台積電元富53購09,10777000,10156830,485,1.39,6月17日,0.19,12月31日,0.80
113,030269,台積電元富53購10,3000000,2809730,229,1.69,4月23日,0.17,12月27日,0.84
113,030270,台積電元富53購11,3404000,2560780,125,1.19,5月17日,0.01,10月23日,0.68
113,030271,台積電元富53購12,35507000,46729840,1992,4.44,7月09日,0.45,4月23日,1.64
113,03035P,台積電凱基41售25,4546000,6490180,304,2.94,8月05日,0.09,12月13日,1.35
113,030362,台積電元大54購19,13021000,11859460,519,2.11,5月06日,0.02,9月27日,0.82
113,03036P,台積電凱基41售26,30413000,14041410,1182,3.12,8月05日,0.01,12月24日,0.82
113,03037P,台積電凱基42售11,20963000,10663940,557,2.40,8月05日,0.05,12月31日,0.75
113,030418,台積電永豐55購04,43096000,64333680,2590,3.80,7月09日,0.35,12月31日,1.55
113,030439,台積電統一54購01,266284000,231818030,21270,1.73,6月26日,0.57,8月05日,0.82
113,030573,台積電統一68購01,5553000,7423070,138,1.61,4月25日,0.69,6月20日,1.12
113,030631,台積電元大52購13,11787000,10680970,268,1.29,5月15日,0.13,8月09日,0.82
113,030632,台積電元大54購20,16739000,52310480,1257,4.44,6月21日,0.85,8月06日,2.94
113,03064P,台積電國票3C售06,19865000,21712420,700,2.84,8月05日,0.01,12月12日,1.17
113,03065P,台積電國票41售06,7581000,7804030,471,3.50,8月06日,0.01,12月31日,1.22
113,03070T,台積電國泰34售02,3735000,718690,153,0.50,3月08日,0.01,4月12日,0.21
113,030775,台積電永豐53購06,114000,48830,15,0.55,5月08日,0.32,8月05日,0.44
113,030833,台積電元大52購14,2715000,4329880,201,3.70,7月09日,1.00,4月24日,1.86
113,03084P,台積電永豐3C售16,16620000,14648210,618,2.20,8月05日,0.18,11月12日,1.00
113,03086P,台積電中信3C售14,17942000,7759780,770,1.33,8月05日,0.10,12月16日,0.53
113,03089P,台積電國票3C售07,8028000,9950040,334,1.72,8月05日,0.37,11月12日,1.08
113,03090P,台積電國票42售04,41460000,30143700,1330,3.62,8月05日,0.09,12月31日,1.56
113,03093P,台積電群益3C售35,19246000,19375950,884,2.00,8月05日,0.25,11月11日,1.03
113,030950,台積電兆豐54購01,9659000,16850920,562,2.40,5月06日,0.86,8月07日,1.60
113,03095P,台積電元大3C售57,31098000,17508890,874,1.85,8月06日,0.02,12月09日,0.72
113,03096P,台積電元大3C售58,19207000,14448670,609,1.90,8月05日,0.05,12月05日,0.78
113,03097P,台積電元大3C售59,47622000,35464200,2104,1.85,8月05日,0.03,12月13日,0.74
113,031003,台積電元大52購16,9877000,31119110,185,4.96,10月18日,1.76,4月25日,3.35
113,031004,台積電群益46購09,11671000,34471040,292,4.68,10月18日,1.68,4月25日,3.20
113,031005,台積電群益48購01,14125000,41069440,738,4.80,12月04日,1.64,4月25日,3.26
113,03102P,台積電凱基3C售38,14445000,11955460,303,1.87,8月08日,0.25,11月22日,0.99
113,03103P,台積電凱基3C售39,2412000,2095710,50,1.43,8月02日,0.69,7月11日,1.04
113,03104P,台積電凱基3C售40,3641000,4432380,158,2.74,8月06日,0.17,12月02日,1.45
113,03121P,台積電國票42售05,5948000,4542860,454,2.10,8月05日,0.14,12月31日,0.91
113,031225,台積電元大52購17,9639000,5021150,111,2.26,5月15日,0.05,10月14日,1.04
113,031226,台積電元大52購18,8042000,18614390,408,5.15,6月18日,0.01,11月15日,2.41
113,03122P,台積電國票42售06,9097000,6771680,215,2.07,9月04日,0.02,12月25日,0.67
113,031230,台積電統一47購02,93476000,245435010,4821,3.99,10月18日,1.55,8月05日,2.70
113,03128P,台積電永豐3C售17,13206000,7162580,440,1.59,8月05日,0.20,11月21日,0.65
113,03132P,台積電凱基3C售42,6781000,4003440,269,1.49,8月05日,0.01,12月20日,0.69
113,03133P,台積電凱基3C售43,2171000,1722440,109,1.93,8月06日,0.12,12月03日,0.90
113,03134P,台積電凱基51售01,5264000,10832230,280,3.33,8月06日,1.45,12月31日,2.04
113,03135P,台積電凱基51售02,8911000,9046810,451,2.39,8月05日,0.45,12月27日,1.12
113,031414,台積電富邦52購05,18306000,11973840,690,2.26,6月19日,0.01,12月16日,0.74
113,031479,台積電元大52購19,6210000,4515640,338,1.96,5月29日,0.07,11月29日,0.75
113,031480,台積電元大52購20,716000,1163220,61,2.54,7月05日,0.11,11月11日,1.45
113,031481,台積電元大52購21,5491000,4777280,442,3.10,10月07日,0.40,9月11日,0.87
113,031489,台積電群益48購02,4261000,18408370,468,6.45,11月08日,2.42,8月05日,4.47
113,031490,台積電群益48購03,13618000,58554910,1306,7.10,7月12日,2.45,8月05日,4.37
113,031491,台積電群益48購04,7972000,39227830,897,7.60,7月11日,2.77,8月05日,5.01
113,031599,台積電永豐52購05,19606000,19589240,626,1.67,7月17日,0.01,10月24日,0.82
113,031600,台積電永豐52購06,13273000,12823410,292,1.47,7月17日,0.10,8月12日,0.84
