Month,Code,Name,HighestPrice,LowestPrice,WeightedAvgPriceAB,Transaction,TradeValueA,TradeVolumeB,TurnoverRatio
11408,030026,台積電群益51購26,2.15,1.80,2.04,3,326500,160000,3.20
11408,030027,台積電群益51購27,1.79,1.55,1.65,4,13200,8000,0.16
11408,030028,台積電群益51購28,1.83,1.16,1.54,54,2200140,1423000,28.46
11408,03010U,台積電元富4B售25,0.37,0.22,0.29,107,591770,1996000,62.37
11408,030204,台積電元大52購12,0.89,0.61,0.77,320,4548360,5891000,117.82
11408,030205,台積電元大53購03,1.25,0.19,1.10,331,10467510,9431000,188.62
11408,03020U,台積電中信4B售05,0.40,0.25,0.32,15,16590,51000,0.34
11408,030236,台積電富邦53購06,1.05,0.73,0.89,213,719540,801000,11.44
11408,030265,台積電元富53購06,1.63,1.46,1.50,11,844060,562000,11.24
11408,030266,台積電元富53購07,3.17,2.98,3.07,5,15350,5000,0.10
11408,030267,台積電元富53購08,17.60,13.80,15.78,18,631300,40000,0.80
11408,030268,台積電元富53購09,7.60,7.60,7.60,1,22800,3000,0.06
11408,030269,台積電元富53購10,6.60,6.05,6.32,2,12650,2000,0.04
11408,030270,台積電元富53購11,3.37,2.72,3.18,2,22290,7000,0.14
11408,030271,台積電元富53購12,12.70,8.45,10.35,18,403650,39000,0.78
11408,03032U,台積電統一53售09,0.30,0.18,0.22,80,703420,3121000,31.21
11408,030362,台積電元大54購19,1.26,0.95,1.12,81,3050000,2710000,54.20
11408,030418,台積電永豐55購04,0.93,0.75,0.85,12,116780,136000,2.72
11408,030439,台積電統一54購01,0.76,0.59,0.67,2372,34222280,50701000,56.33
11408,03054U,台積電永豐55售02,0.56,0.35,0.45,50,309960,674000,22.46
11408,030573,台積電統一68購01,0.74,0.60,0.69,249,2301120,3303000,66.06
11408,030631,台積電元大52購13,0.97,0.60,0.73,75,1106130,1511000,30.22
11408,030632,台積電元大54購20,0.83,0.56,0.71,33,1095450,1531000,30.62
11408,030775,台積電永豐53購06,1.03,0.81,0.90,28,641860,711000,14.22
11408,03080U,台積電國票4B售09,0.72,0.34,0.49,45,105620,214000,14.26
11408,03081U,台積電國票4C售09,0.73,0.38,0.51,57,1411900,2760000,184.00
11408,030833,台積電元大52購14,0.82,0.56,0.72,131,3957950,5486000,109.72
11408,03092U,台積電元大4B售26,0.39,0.19,0.26,47,370360,1420000,35.50
11408,030950,台積電兆豐54購01,0.95,0.92,0.93,4,451000,480000,9.60
11408,031003,台積電元大52購16,1.01,0.70,0.88,42,1655940,1862000,37.24
11408,031005,台積電群益48購01,5.05,4.35,4.95,12,515320,104000,
11408,03103U,台積電凱基4C售28,0.62,0.36,0.47,76,646600,1359000,194.14
11408,031225,台積電元大52購17,0.98,0.71,0.85,118,5593380,6544000,130.88
11408,031226,台積電元大52購18,0.83,0.16,0.73,133,4374010,5969000,119.38
11408,03132U,台積電凱基4C售30,0.53,0.29,0.35,18,264940,741000,148.20
11408,03134P,台積電凱基51售01,0.20,0.10,0.13,175,495000,3606000,54.63
11408,03135P,台積電凱基51售02,0.14,0.04,0.07,84,146660,2021000,17.57
11408,031414,台積電富邦52購05,1.15,0.86,0.99,34,273900,275000,2.75
11408,03145U,台積電元大4B售29,0.40,0.23,0.36,21,319720,884000,34.00
11408,031479,台積電元大52購19,1.22,0.98,1.14,21,1775230,1546000,30.92
11408,031480,台積電元大52購20,0.86,0.66,0.79,97,3454740,4365000,87.30
11408,031481,台積電元大52購21,1.15,0.89,1.08,27,1939260,1794000,35.88
11408,031489,台積電群益48購02,6.40,4.61,5.47,32,1575740,288000,
11408,031490,台積電群益48購03,5.65,3.69,4.53,31,676450,149000,
11408,031491,台積電群益48購04,5.20,2.84,4.29,124,3569850,832000,
11408,03149U,台積電群益4B售18,0.45,0.27,0.32,10,62040,192000,11.35
11408,031600,台積電永豐52購06,1.01,0.84,0.91,7,107830,118000,2.36
11408,03161U,台積電凱基4C售32,0.20,0.16,0.17,5,4970,28000,2.80
11408,031622,台積電兆豐55購01,0.65,0.65,0.65,1,39650,61000,1.22
11408,031644,台積電凱基54購13,0.47,0.42,0.44,3,6700,15000,0.30
11408,031645,台積電凱基58購10,0.84,0.63,0.71,6,9290,13000,0.26
11408,031678,台積電元富68購01,3.43,3.31,3.39,3,10170,3000,0.06
11408,031697,台積電國泰53購04,1.23,0.99,1.00,9,211080,210000,4.20
11408,031708,台積電群益54購18,1.01,0.80,0.83,7,388240,466000,9.32
11408,03174P,台積電凱基51售03,0.30,0.16,0.21,77,651420,3102000,44.31
11408,03175P,台積電凱基51售04,0.15,0.07,0.07,16,22940,303000,3.48
11408,03179U,台積電國泰4C售02,0.76,0.46,0.49,35,1411320,2843000,140.74
11408,03180U,台積電凱基4C售34,0.77,0.50,0.58,30,252410,431000,86.20
11408,03186U,台積電元大4B售31,0.38,0.19,0.29,64,570310,1911000,65.89
11408,031929,台積電群益54購19,1.82,0.38,1.63,19,75160,46000,0.92
11408,031956,台積電元大54購21,0.66,0.56,0.60,27,83440,137000,2.74
11408,03200U,台積電凱基4B售24,0.67,0.30,0.47,26,410370,856000,171.20
11408,03202U,台積電群益4B售20,0.65,0.35,0.43,10,58070,135000,8.85
11408,032237,台積電富邦52購07,0.82,0.64,0.69,13,55670,80000,1.14
11408,03223U,台積電富邦51售10,0.36,0.25,0.29,8,81530,276000,2.76
