出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1140817,11407,000104,臺銀證券,證券,112857,107241,123233,5.236803088371052,-8.419822612449588,559404,843707,-33.69688766360834,-
1140817,11407,000218,亞東證券,證券,99006,96224,25523,2.891170601928833,287.9089448732516,328624,565447,-41.882439910371794,-
1140817,11407,000511,富隆,證券,1673,1713,-3436,-2.335084646818447,148.69033760186264,-6788,2650,-356.1509433962264,-
1140817,11407,000532,高橋,證券,22543,19565,32020,15.221058011755686,-29.597126795752654,132918,191709,-30.666791856407368,-
1140817,11407,000538,第一金證,證券,346483,369869,383080,-6.322779146130117,-9.553357001148585,1792246,2307848,-22.34124604393357,-
1140817,11407,000546,寶盛,證券,1956,1872,3195,4.487179487179487,-38.779342723004696,12245,17987,-31.923055540112305,-
1140817,11407,000560,永興,證券,15088,12917,21854,16.807308198498102,-30.960007321314176,90712,128836,-29.591108075382657,-
1140817,11407,000596,日茂,證券,9109,7409,12876,22.945066810635712,-29.255980118049084,52035,77059,-32.473818762247106,-
1140817,11407,000601,牛牛牛亞,證券,159923,124591,33534,28.35838864765513,376.8980735969464,363777,56434,544.6060885281922,-
1140817,11407,000616,中信證券,證券,433126,585397,420883,-26.01157846726239,2.908884416809422,2335266,3050994,-23.458846526738498,-
1140817,11407,000638,光和,證券,24338,22893,40223,6.311973092211593,-39.49233025880715,156718,232759,-32.669413427622565,-
1140817,11407,000646,大昌證券,證券,47236,41394,69065,14.113156496110548,-31.606457684789692,301348,418292,-27.957503370850983,-
1140817,11407,000662,口袋證券,證券,13349,11292,10802,18.216436415161176,23.57896685798926,69765,52744,32.270969209767934,-
1140817,11407,000695,福勝證券,證券,7165,6407,11421,11.830810051506164,-37.2646878557044,44851,70367,-36.26131567354015,-
1140817,11407,000700,兆豐證券,證券,919581,821936,1093054,11.87987872535088,-15.870487642879493,4155132,5524247,-24.783739756748748,-
1140817,11407,000708,石橋,證券,1709,1548,2717,10.400516795865633,-37.09974236290026,9802,15124,-35.18910341179582,-
1140817,11407,000775,北城,證券,6058,5578,9308,8.605234851201148,-34.91620111731844,35286,52972,-33.387449973570945,-
1140817,11407,000779,國票綜合,證券,648322,441576,636761,46.8200264507129,1.8155948621225233,2353676,3218465,-26.869610202379086,-
