price,index_id,date
12844.34,TAIEX,2016-01-04
12782.35,TAIEX,2016-01-05
12648.25,TAIEX,2016-01-06
12429.29,TAIEX,2016-01-07
12495.63,TAIEX,2016-01-08
12328.55,TAIEX,2016-01-11
12296.93,TAIEX,2016-01-12
12385.83,TAIEX,2016-01-13
12256.45,TAIEX,2016-01-14
12286.75,TAIEX,2016-01-15
12364.57,TAIEX,2016-01-18
12433.75,TAIEX,2016-01-19
12187.2,TAIEX,2016-01-20
12131.61,TAIEX,2016-01-21
12277.51,TAIEX,2016-01-22
12495.91,TAIEX,2016-01-25
12392.26,TAIEX,2016-01-26
12425.75,TAIEX,2016-01-27
12513.24,TAIEX,2016-01-28
12791.05,TAIEX,2016-01-29
12893.32,TAIEX,2016-01-30
12911.93,TAIEX,2016-02-01
12871.2,TAIEX,2016-02-02
12763.19,TAIEX,2016-02-03
12768.75,TAIEX,2016-02-15
12999.16,TAIEX,2016-02-16
13002.6,TAIEX,2016-02-17
13161.56,TAIEX,2016-02-18
13177.98,TAIEX,2016-02-19
13180.58,TAIEX,2016-02-22
13193.18,TAIEX,2016-02-23
13111.21,TAIEX,2016-02-24
13242.6,TAIEX,2016-02-25
13314.3,TAIEX,2016-02-26
13432.27,TAIEX,2016-03-01
13524.65,TAIEX,2016-03-02
13631.89,TAIEX,2016-03-03
13682.17,TAIEX,2016-03-04
13707.48,TAIEX,2016-03-07
13715.02,TAIEX,2016-03-08
13667.22,TAIEX,2016-03-09
13709.32,TAIEX,2016-03-10
13781.24,TAIEX,2016-03-11
13847.34,TAIEX,2016-03-14
13630.92,TAIEX,2016-03-15
13770.16,TAIEX,2016-03-16
13826.18,TAIEX,2016-03-17
13946.77,TAIEX,2016-03-18
13949.92,TAIEX,2016-03-21
13907.14,TAIEX,2016-03-22
13876.13,TAIEX,2016-03-23
13840.19,TAIEX,2016-03-24
13779.38,TAIEX,2016-03-25
13756.4,TAIEX,2016-03-28
13640.69,TAIEX,2016-03-29
13830.15,TAIEX,2016-03-30
13842.48,TAIEX,2016-03-31
13704.33,TAIEX,2016-04-01
13475.98,TAIEX,2016-04-06
13439.5,TAIEX,2016-04-07
13520.62,TAIEX,2016-04-08
13554.0,TAIEX,2016-04-11
13504.28,TAIEX,2016-04-12
13695.67,TAIEX,2016-04-13
13720.4,TAIEX,2016-04-14
13772.14,TAIEX,2016-04-15
13717.71,TAIEX,2016-04-18
13666.6,TAIEX,2016-04-19
13477.84,TAIEX,2016-04-20
13563.59,TAIEX,2016-04-21
13511.51,TAIEX,2016-04-22
13550.35,TAIEX,2016-04-25
13584.04,TAIEX,2016-04-26
13554.74,TAIEX,2016-04-27
13413.57,TAIEX,2016-04-28
13261.65,TAIEX,2016-04-29
13129.04,TAIEX,2016-05-03
12957.15,TAIEX,2016-05-04
12929.43,TAIEX,2016-05-05
12895.87,TAIEX,2016-05-06
12872.76,TAIEX,2016-05-09
12911.48,TAIEX,2016-05-10
12878.78,TAIEX,2016-05-11
12835.23,TAIEX,2016-05-12
12749.18,TAIEX,2016-05-13
12771.19,TAIEX,2016-05-16
12886.55,TAIEX,2016-05-17
12916.95,TAIEX,2016-05-18
12816.12,TAIEX,2016-05-19
12871.97,TAIEX,2016-05-20
13209.44,TAIEX,2016-05-23
13140.13,TAIEX,2016-05-24
13291.38,TAIEX,2016-05-25
13288.09,TAIEX,2016-05-26
