date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2020-04-01,BRF,202005,0.0,0.0,0.0,0.0,0.0,0.0,0,681.0,381,position
2020-04-01,BRF,202005,690.0,704.0,681.0,681.0,-9.0,-1.3,45,0.0,0,after_market
2020-04-01,BRF,202006,795.0,799.0,774.0,774.0,-30.0,-3.73,63,774.0,435,position
2020-04-01,BRF,202006,818.0,833.0,789.5,791.0,-13.0,-1.62,77,0.0,0,after_market
2020-04-01,BRF,202007,881.0,881.0,874.5,874.5,7.0,0.81,3,874.5,3,position
2020-04-01,BRF,202007,910.5,910.5,910.5,910.5,43.0,4.96,2,0.0,0,after_market
2020-04-01,BRF,202008,0.0,0.0,0.0,0.0,0.0,0.0,0,969.0,0,position
2020-04-01,BRF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,913.5,15,position
2020-04-01,BRF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2020-04-01,BRF,202106,0.0,0.0,0.0,0.0,0.0,0.0,0,742.0,0,position
2020-04-01,BRF,202106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2020-04-01,BRF,202006/202007,100.0,100.0,100.0,100.0,0.0,0.0,1,0.0,0,after_market
2020-04-01,CAF,202004,54.3,54.3,53.7,53.7,-0.5,-0.92,8,53.7,96,position
2020-04-01,CAF,202005,53.6,53.6,53.6,53.6,-0.6,-1.11,1,53.6,12,position
2020-04-01,CAF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,53.7,1,position
2020-04-01,CAF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,53.8,0,position
2020-04-01,CAF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,54.3,0,position
2020-04-01,CBF,202004,19.0,19.0,18.75,18.75,-0.1,-0.53,73,18.75,462,position
2020-04-01,CBF,202005,18.9,18.9,18.7,18.7,-0.2,-1.06,87,18.7,107,position
2020-04-01,CBF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,0,position
2020-04-01,CBF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,0,position
2020-04-01,CBF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,18.95,0,position
2020-04-01,CBF,202004/202005,-0.05,-0.05,-0.06,-0.05,0.0,0.0,22,0.0,0,position
2020-04-01,CCF,202004,13.6,13.8,13.6,13.8,0.05,0.36,957,13.8,1416,position
2020-04-01,CCF,202005,13.65,13.8,13.6,13.8,0.05,0.36,538,13.8,913,position
2020-04-01,CCF,202006,13.65,13.75,13.65,13.75,0.0,0.0,20,13.75,191,position
2020-04-01,CCF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,13.9,193,position
2020-04-01,CCF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,13.95,20,position
2020-04-01,CCF,202004/202005,-0.04,-0.02,-0.04,-0.02,0.0,0.0,148,0.0,0,position
2020-04-01,CDF,202004,272.0,274.5,269.0,269.0,-4.0,-1.47,3769,269.5,7949,position
2020-04-01,CDF,202005,272.0,274.5,269.0,269.0,-4.0,-1.47,1270,269.0,6294,position
2020-04-01,CDF,202006,272.0,274.0,269.0,269.0,-4.0,-1.47,50,269.0,685,position
2020-04-01,CDF,202009,273.0,273.5,269.5,269.5,-3.5,-1.28,58,269.5,257,position
2020-04-01,CDF,202012,272.0,274.0,268.5,268.5,-4.0,-1.47,166,268.5,391,position
2020-04-01,CDF,202004/202005,-0.15,-0.13,-0.15,-0.15,0.0,0.0,903,0.0,0,position
2020-04-01,CDF,202004/202006,-0.21,-0.21,-0.22,-0.22,0.0,0.0,20,0.0,0,position
2020-04-01,CDF,202005/202006,-0.1,-0.1,-0.1,-0.1,0.0,0.0,10,0.0,0,position
2020-04-01,CDF,202005/202009,-0.13,-0.13,-0.13,-0.13,0.0,0.0,1,0.0,0,position
2020-04-01,CEF,202004,37.25,37.5,37.15,37.2,-0.3,-0.8,37,37.2,767,position
2020-04-01,CEF,202005,37.1,37.35,37.1,37.15,-0.25,-0.67,15,37.15,356,position
2020-04-01,CEF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,37.05,66,position
2020-04-01,CEF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,37.35,83,position
2020-04-01,CEF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,37.35,23,position
2020-04-01,CFF,202004,74.1,75.4,74.1,74.4,-0.2,-0.27,64,74.4,141,position
2020-04-01,CFF,202005,0.0,0.0,0.0,0.0,0.0,0.0,0,75.1,50,position
2020-04-01,CFF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,74.3,2,position
2020-04-01,CFF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,74.5,1,position
2020-04-01,CFF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,75.3,0,position
2020-04-01,CGF,202004,17.3,17.8,17.3,17.6,0.15,0.86,168,17.6,389,position
2020-04-01,CGF,202005,17.35,17.75,17.35,17.65,0.25,1.44,13,17.65,146,position
2020-04-01,CGF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,17.6,4,position
2020-04-01,CGF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,17.75,3,position
2020-04-01,CGF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,17.75,1,position
2020-04-01,CHF,202004,6.3,6.9,6.3,6.9,0.62,9.87,1734,6.9,3619,position
2020-04-01,CHF,202005,6.3,6.88,6.3,6.88,0.62,9.9,259,6.88,996,position
2020-04-01,CHF,202006,6.46,6.75,6.35,6.75,0.4,6.3,8,6.97,503,position
2020-04-01,CHF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,7.04,5,position
