futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
BTF,2025-09-19,自營商,4,803,2,405,0,0,4,815
BTF,2025-09-19,投信,0,0,0,0,0,0,0,0
BTF,2025-09-19,外資,0,0,0,0,0,0,1,204
E4F,2025-09-19,自營商,244,332483,247,336574,145,197830,145,197830
E4F,2025-09-19,投信,0,0,0,0,0,0,0,0
E4F,2025-09-19,外資,8,10919,5,6828,0,0,0,0
ETF,2025-09-19,自營商,2730,804812,3904,1194187,12827,4279827,15260,4361309
ETF,2025-09-19,投信,0,0,0,0,4138,2023259,55,20103
ETF,2025-09-19,外資,1826,720552,1880,701909,759,204166,21719,7305914
F1F,2025-09-19,自營商,41,19013,61,28227,35,16245,9,4177
F1F,2025-09-19,投信,0,0,0,0,0,0,0,0
F1F,2025-09-19,外資,269,124315,260,120208,84,38989,0,0
G2F,2025-09-19,自營商,29,15517,32,17125,0,0,55,29450
G2F,2025-09-19,投信,0,0,0,0,50,26773,0,0
G2F,2025-09-19,外資,0,0,0,0,0,0,1,535
GTF,2025-09-19,自營商,0,0,0,0,0,0,0,0
GTF,2025-09-19,投信,0,0,0,0,0,0,0,0
GTF,2025-09-19,外資,0,0,0,0,0,0,0,0
M1F,2025-09-19,自營商,1115,236440,1115,236372,413,87273,93,19670
M1F,2025-09-19,投信,0,0,0,0,0,0,0,0
M1F,2025-09-19,外資,0,0,0,0,0,0,0,0
MTX,2025-09-19,自營商,11937,15361335,14609,18792869,6342,8138057,8030,10301246
MTX,2025-09-19,投信,0,0,9,11567,159,204077,22,28237
MTX,2025-09-19,外資,99071,127504564,99738,128357551,3101,3980085,3240,4158535
SHF,2025-09-19,自營商,0,0,0,0,1,187,0,0
SHF,2025-09-19,投信,0,0,0,0,0,0,0,0
SHF,2025-09-19,外資,0,0,0,0,0,0,0,0
SOF,2025-09-19,自營商,118,41314,119,41587,11,3814,4,1387
SOF,2025-09-19,投信,0,0,0,0,0,0,0,0
SOF,2025-09-19,外資,3,1042,3,1045,0,0,0,0
SPF,2025-09-19,自營商,8,10623,8,10626,3,4018,43,57594
SPF,2025-09-19,投信,1,1340,1,1328,1,1339,0,0
SPF,2025-09-19,外資,14,18603,12,15955,99,132601,1,1339
STF,2025-09-19,自營商,41576,8121701,56429,10629410,111903,38011501,144661,33797401
STF,2025-09-19,投信,8264,1705302,1,1462,15433,3241661,233,29152
STF,2025-09-19,外資,208550,62922877,209031,64934095,86034,46550440,391515,157355397
SXF,2025-09-19,自營商,124,62180,118,59222,109,55180,112,56699
SXF,2025-09-19,投信,0,0,0,0,6,3037,0,0
SXF,2025-09-19,外資,264,131791,206,102791,182,92136,29,14681
TE,2025-09-19,自營商,94,565116,111,666040,25,149526,93,556220
TE,2025-09-19,投信,0,0,0,0,97,580138,0,0
TE,2025-09-19,外資,526,3155214,551,3306304,231,1381565,339,2027491
TF,2025-09-19,自營商,48,105693,67,147325,119,261919,37,81415
TF,2025-09-19,投信,0,0,0,0,42,92442,0,0
TF,2025-09-19,外資,152,334032,148,325381,103,226703,318,699918
TJF,2025-09-19,自營商,335,209474,410,256433,58,35693,31,19101
TJF,2025-09-19,投信,0,0,0,0,0,0,0,0
TJF,2025-09-19,外資,370,231204,301,187956,68,41902,56,34462
TMF,2025-09-19,自營商,11233,2892213,21535,5536720,6115,1567358,2175,554704
TMF,2025-09-19,投信,0,0,0,0,0,0,0,0
TMF,2025-09-19,外資,53996,13902111,52910,13620323,83,21306,109,27980
TX,2025-09-19,自營商,10205,52526236,10034,51646536,4840,24846844,2802,14382019
TX,2025-09-19,投信,145,748255,665,3415365,27674,142078316,8210,42150140
TX,2025-09-19,外資,59855,308156593,59023,303889173,26660,136870373,44263,227238261
UDF,2025-09-19,自營商,3,2779,2,1856,0,0,35,32573
UDF,2025-09-19,投信,1,931,1,924,1,931,0,0
UDF,2025-09-19,外資,122,113524,101,93737,158,147044,51,47464
UNF,2025-09-19,自營商,67,82353,57,69856,0,0,55,67925
UNF,2025-09-19,投信,2,2472,2,2447,2,2470,0,0
UNF,2025-09-19,外資,508,626207,407,500298,595,734825,0,0
XIF,2025-09-19,自營商,52,70412,65,87969,62,83768,23,31075
XIF,2025-09-19,投信,0,0,0,0,0,0,0,0
XIF,2025-09-19,外資,39,52737,77,104135,0,0,35,47289
ZEF,2025-09-19,自營商,136,102204,105,78760,90,67288,73,54575
ZEF,2025-09-19,投信,0,0,0,0,81,60556,0,0
ZEF,2025-09-19,外資,821,615962,799,599460,19,14204,17,12709
ZFF,2025-09-19,自營商,185,101802,169,92987,54,29714,107,58877
ZFF,2025-09-19,投信,0,0,0,0,0,0,0,0
ZFF,2025-09-19,外資,147,80858,141,77537,51,28063,3,1651
