futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
ETF,2018-06-05,自營商,507.0,185938.0,527.0,182975.0,3078.0,1247047.0,6730.0,2009820.0
ETF,2018-06-05,投信,0.0,0.0,0.0,0.0,2653.0,1131000.0,4726.0,3521234.0
ETF,2018-06-05,外資,1213.0,349605.0,1058.0,318132.0,4106.0,2811370.0,5574.0,1353894.0
GTF,2018-06-05,自營商,13.0,8082.0,6.0,3724.0,24.0,14933.0,9.0,5568.0
GTF,2018-06-05,投信,0.0,0.0,0.0,0.0,9.0,5600.0,0.0,0.0
GTF,2018-06-05,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31110.0
I5F,2018-06-05,自營商,83.0,43947.0,80.0,42365.0,71.0,37665.0,332.0,176124.0
I5F,2018-06-05,投信,0.0,0.0,0.0,0.0,224.0,118832.0,0.0,0.0
I5F,2018-06-05,外資,62.0,32819.0,63.0,33372.0,2.0,1061.0,6.0,3183.0
MTX,2018-06-05,自營商,8341.0,4595474.0,7285.0,4002254.0,20536.0,11183877.0,8722.0,4699288.0
MTX,2018-06-05,投信,0.0,0.0,0.0,0.0,46.0,25459.0,0.0,0.0
MTX,2018-06-05,外資,31867.0,17655078.0,32915.0,18238967.0,1250.0,689801.0,1846.0,1020437.0
SF,2018-06-05,自營商,19647.0,3102836.0,19815.0,3322476.0,28323.0,3788759.0,88093.0,14321706.0
SF,2018-06-05,投信,140.0,73507.0,0.0,0.0,0.0,0.0,150.0,169200.0
SF,2018-06-05,外資,21897.0,4984420.0,21614.0,4780989.0,28121.0,9088350.0,23741.0,5820265.0
SPF,2018-06-05,自營商,111.0,60914.0,140.0,76829.0,471.0,258562.0,353.0,193769.0
SPF,2018-06-05,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPF,2018-06-05,外資,23.0,12629.0,25.0,13711.0,22.0,12091.0,51.0,27989.0
T5F,2018-06-05,自營商,0.0,0.0,0.0,0.0,244.0,199431.0,234.0,191190.0
T5F,2018-06-05,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5F,2018-06-05,外資,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,2018-06-05,自營商,585.0,1063554.0,605.0,1099224.0,830.0,1509511.0,548.0,994670.0
TE,2018-06-05,投信,0.0,0.0,0.0,0.0,32.0,58285.0,24.0,43714.0
TE,2018-06-05,外資,1515.0,2762823.0,1541.0,2810291.0,2151.0,3917831.0,1989.0,3622765.0
TF,2018-06-05,自營商,257.0,326471.0,223.0,283490.0,359.0,456977.0,335.0,421574.0
TF,2018-06-05,投信,0.0,0.0,0.0,0.0,50.0,63690.0,0.0,0.0
TF,2018-06-05,外資,868.0,1104141.0,771.0,980735.0,1107.0,1410097.0,1936.0,2463222.0
TJF,2018-06-05,自營商,37.0,13125.0,33.0,11710.0,91.0,32318.0,93.0,33018.0
TJF,2018-06-05,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJF,2018-06-05,外資,12.0,4260.0,2.0,711.0,15.0,5324.0,6.0,2131.0
TX,2018-06-05,自營商,16010.0,35407810.0,16344.0,36136490.0,8394.0,18097645.0,10601.0,23059521.0
TX,2018-06-05,投信,53.0,117320.0,393.0,870142.0,1716.0,3798881.0,26133.0,57853235.0
TX,2018-06-05,外資,43660.0,96744874.0,44337.0,98256299.0,72646.0,160633794.0,24929.0,54946371.0
UDF,2018-06-05,自營商,1278.0,633831.0,1147.0,568698.0,1386.0,687377.0,63.0,31247.0
UDF,2018-06-05,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-05,外資,236.0,116962.0,176.0,87276.0,23.0,11406.0,473.0,234543.0
XIF,2018-06-05,自營商,102.0,131258.0,115.0,148326.0,306.0,393854.0,296.0,379744.0
XIF,2018-06-05,投信,0.0,0.0,0.0,0.0,1.0,1296.0,0.0,0.0
XIF,2018-06-05,外資,56.0,72586.0,37.0,47987.0,5.0,6478.0,0.0,0.0
ETF,2018-06-06,自營商,435.0,245269.0,451.0,243071.0,3136.0,1328011.0,6804.0,2085570.0
ETF,2018-06-06,投信,0.0,0.0,0.0,0.0,2653.0,1137277.0,4726.0,3551459.0
ETF,2018-06-06,外資,1031.0,335341.0,1078.0,336887.0,4234.0,2883606.0,5749.0,1404732.0
GTF,2018-06-06,自營商,7.0,4363.0,9.0,5610.0,24.0,15130.0,11.0,6880.0
GTF,2018-06-06,投信,0.0,0.0,0.0,0.0,9.0,5674.0,0.0,0.0
GTF,2018-06-06,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31520.0
I5F,2018-06-06,自營商,165.0,87921.0,162.0,86264.0,43.0,23018.0,301.0,161137.0
I5F,2018-06-06,投信,0.0,0.0,0.0,0.0,224.0,119918.0,0.0,0.0
I5F,2018-06-06,外資,91.0,48399.0,90.0,47886.0,0.0,0.0,3.0,1606.0
MTX,2018-06-06,自營商,16938.0,9381926.0,10078.0,5587205.0,27896.0,15405803.0,9173.0,5010680.0
MTX,2018-06-06,投信,0.0,0.0,0.0,0.0,46.0,25755.0,0.0,0.0
