name,contract_type,buy_top5_trader_open_interest,buy_top5_trader_open_interest_per,buy_top10_trader_open_interest,buy_top10_trader_open_interest_per,sell_top5_trader_open_interest,sell_top5_trader_open_interest_per,sell_top10_trader_open_interest,sell_top10_trader_open_interest_per,market_open_interest,buy_top5_specific_open_interest,buy_top5_specific_open_interest_per,buy_top10_specific_open_interest,buy_top10_specific_open_interest_per,sell_top5_specific_open_interest,sell_top5_specific_open_interest_per,sell_top10_specific_open_interest,sell_top10_specific_open_interest_per,date,futures_id
東證期貨,201601,81,63.8,95,74.8,95,74.8,114,89.8,127,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-04,TJF
東證期貨,all,308,84.4,324,88.8,298,81.6,336,92.1,365,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-04,TJF
東證期貨,201601,63,54.3,84,72.4,83,71.6,99,85.3,116,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-05,TJF
東證期貨,all,200,74.3,227,84.4,175,65.1,218,81.0,269,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-05,TJF
東證期貨,201601,77,52.4,99,67.3,133,90.5,140,95.2,147,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-06,TJF
東證期貨,all,209,68.8,240,78.9,219,72.0,266,87.5,304,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-06,TJF
東證期貨,201601,62,54.9,81,71.7,86,76.1,102,90.3,113,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-07,TJF
東證期貨,all,163,68.2,186,77.8,154,64.4,200,83.7,239,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-07,TJF
東證期貨,201602,119,78.3,132,86.8,139,91.4,148,97.4,152,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-08,TJF
東證期貨,all,198,84.6,211,90.2,202,86.3,226,96.6,234,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-08,TJF
東證期貨,201602,362,88.9,377,92.6,381,93.6,405,99.5,407,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-11,TJF
東證期貨,all,510,90.4,528,93.6,528,93.6,558,98.9,564,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-11,TJF
東證期貨,201602,234,80.4,247,84.9,275,94.5,287,98.6,291,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-12,TJF
東證期貨,all,364,84.1,384,88.7,411,94.9,426,98.4,433,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-12,TJF
