buy,date,name,sell
21517424629,2016-01-04,total,38975118929
1405709090,2016-01-04,Investment_Trust,1791220919
4249438590,2016-01-04,Dealer_Hedging,7824711143
1276534200,2016-01-04,Dealer_self,836604040
14585742749,2016-01-04,Foreign_Investor,28522582827
1936395120,2016-01-05,Investment_Trust,2021979426
29062782174,2016-01-05,total,33854365021
1108318390,2016-01-05,Dealer_self,886753423
20673638314,2016-01-05,Foreign_Investor,24879842919
5344430350,2016-01-05,Dealer_Hedging,6065789253
32255377316,2016-01-06,total,39000076675
1240896110,2016-01-06,Investment_Trust,2342452131
24511280226,2016-01-06,Foreign_Investor,29395070263
5055657170,2016-01-06,Dealer_Hedging,6235334736
1447543810,2016-01-06,Dealer_self,1027219545
7153807084,2016-01-07,Dealer_Hedging,8396696658
27247692617,2016-01-07,Foreign_Investor,39290786915
37200351441,2016-01-07,total,50948377190
1768440730,2016-01-07,Dealer_self,1592251372
1030411010,2016-01-07,Investment_Trust,1668642245
38679532082,2016-01-08,total,41826042811
28725408762,2016-01-08,Foreign_Investor,33661740454
7932795320,2016-01-08,Dealer_Hedging,5735241175
1133886920,2016-01-08,Dealer_self,1170065940
887441080,2016-01-08,Investment_Trust,1258995242
22832025103,2016-01-11,Foreign_Investor,32671136139
1049268470,2016-01-11,Dealer_self,1018701720
4022737030,2016-01-11,Dealer_Hedging,6723537772
1590892500,2016-01-11,Investment_Trust,1459505544
29494923103,2016-01-11,total,41872881175
4880014670,2016-01-12,Dealer_Hedging,6405478792
22814489457,2016-01-12,Foreign_Investor,26000602857
1780218900,2016-01-12,Investment_Trust,1055485865
1026801020,2016-01-12,Dealer_self,1581378505
30501524047,2016-01-12,total,35042946019
4592655640,2016-01-13,Dealer_Hedging,5339293473
27017823458,2016-01-13,Foreign_Investor,25868276133
33029058788,2016-01-13,total,33175311941
763855500,2016-01-13,Investment_Trust,788404135
654724190,2016-01-13,Dealer_self,1179338200
28617308601,2016-01-14,total,34046542652
909166970,2016-01-14,Investment_Trust,1162316202
22163458233,2016-01-14,Foreign_Investor,25905242334
4462952178,2016-01-14,Dealer_Hedging,5802801517
1081731220,2016-01-14,Dealer_self,1176182599
3992169854,2016-01-15,Dealer_Hedging,6344482392
1237112600,2016-01-15,Dealer_self,1398418460
26004256585,2016-01-15,Foreign_Investor,33245070167
1415129570,2016-01-15,Investment_Trust,1401201208
32648668609,2016-01-15,total,42389172227
5983782575,2016-01-18,Dealer_Hedging,4443235803
1535186740,2016-01-18,Investment_Trust,1773523293
31257788219,2016-01-18,total,32411323412
22263260934,2016-01-18,Foreign_Investor,25086497275
1475557970,2016-01-18,Dealer_self,1108067041
6154940090,2016-01-19,Dealer_Hedging,5236010251
24899354497,2016-01-19,total,28407281824
1585989550,2016-01-19,Dealer_self,807317450
1477301230,2016-01-19,Investment_Trust,1543634653
15681123627,2016-01-19,Foreign_Investor,20820319470
1508242450,2016-01-20,Investment_Trust,1516925076
1677878080,2016-01-20,Dealer_self,1484814969
23105600554,2016-01-20,Foreign_Investor,31015810199
4715070000,2016-01-20,Dealer_Hedging,8279093956
31006791084,2016-01-20,total,42296644200
4768474365,2016-01-21,Dealer_Hedging,5816978414
1155238940,2016-01-21,Dealer_self,1201235340
21018688973,2016-01-21,Foreign_Investor,23441098902
1499518790,2016-01-21,Investment_Trust,1143246615
28441921068,2016-01-21,total,31602559271
28715810741,2016-01-22,total,29506022123
1043321360,2016-01-22,Dealer_self,1174064720
863360680,2016-01-22,Investment_Trust,1067339786
22662545583,2016-01-22,Foreign_Investor,21006197456
4146583118,2016-01-22,Dealer_Hedging,6258420161
1375236010,2016-01-25,Investment_Trust,977969880
4905815080,2016-01-25,Dealer_Hedging,4229026772
1193071340,2016-01-25,Dealer_self,684633370
30470909529,2016-01-25,total,22968463620
22996787099,2016-01-25,Foreign_Investor,17076833598
954802080,2016-01-26,Dealer_self,708900780
23423368520,2016-01-26,total,28882369886
956162230,2016-01-26,Investment_Trust,797363767
18088751130,2016-01-26,Foreign_Investor,22706563680
3423653080,2016-01-26,Dealer_Hedging,4669541659
1006515620,2016-01-27,Dealer_self,659904240
800734820,2016-01-27,Investment_Trust,1086261972
26337931160,2016-01-27,total,28400184423
4778493685,2016-01-27,Dealer_Hedging,6756066403
19752187035,2016-01-27,Foreign_Investor,19897951808
1156045370,2016-01-28,Dealer_self,990411320
5109434909,2016-01-28,Dealer_Hedging,4718919767
29136242526,2016-01-28,Foreign_Investor,24132071495
36823707115,2016-01-28,total,31482494360
1421984310,2016-01-28,Investment_Trust,1641091778
1854598500,2016-01-29,Dealer_self,1492654252
8624905398,2016-01-29,Dealer_Hedging,6373461548
45168920548,2016-01-29,Foreign_Investor,33821727155
57584223976,2016-01-29,total,43141870721
1935799530,2016-01-29,Investment_Trust,1454027766
4101559050,2016-01-30,Foreign_Investor,1588726966
11888874723,2016-01-30,total,7323142372
2100915390,2016-01-30,Investment_Trust,1548870259
1297924850,2016-01-30,Dealer_self,1003407350
