date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2016-01-04,2330,2031,103,6482595,179,14835,13086, ,289,1129,0,6482595,124,5772,6777
2016-01-05,2330,1789,48,6482595,282,16294,14835, ,205,284,0,6482595,156,5644,5772
2016-01-06,2330,2096,25,6482595,425,17940,16294, ,82,912,3,6482595,194,4923,5644
2016-01-07,2330,2126,8,6482595,652,19406,17940, ,1244,663,0,6482595,584,4844,4923
2016-01-08,2330,927,8,6482595,655,19670,19406, ,134,321,0,6482595,179,4702,4844
2016-01-11,2330,610,7,6482595,627,19646,19670, ,495,235,0,6482595,317,4784,4702
2016-01-12,2330,553,0,6482595,664,19535,19646, ,191,204,2,6482595,262,4840,4784
2016-01-13,2330,455,36,6482595,659,19295,19535, ,321,129,0,6482595,253,4964,4840
2016-01-14,2330,1297,0,6482595,309,20283,19295, ,630,540,0,6482595,382,4806,4964
2016-01-15,2330,1546,9,6482595,3801,18019,20283, ,340,224,0,6482595,1737,6319,4806
2016-01-18,2330,354,4,6482595,584,17785,18019, ,157,427,1,6482595,320,6211,6319
2016-01-19,2330,284,3,6482595,708,17358,17785, ,77,637,51,6482595,156,5679,6211
2016-01-20,2330,1490,0,6482595,264,18584,17358, ,321,685,0,6482595,243,5237,5679
2016-01-21,2330,184,10,6482595,715,18043,18584, ,90,82,0,6482595,402,5557,5237
2016-01-22,2330,60,1,6482595,1636,16466,18043, ,198,50,0,6482595,537,6044,5557
2016-01-25,2330,149,0,6482595,622,15993,16466, ,49,124,0,6482595,327,6247,6044
2016-01-26,2330,345,5,6482595,49,16284,15993, ,57,354,0,6482595,125,6018,6247
2016-01-27,2330,37,1,6482595,632,15688,16284, ,34,83,0,6482595,436,6371,6018
2016-01-28,2330,148,4,6482595,566,15266,15688, ,264,286,0,6482595,225,6310,6371
2016-01-29,2330,341,4,6482595,1107,14496,15266, ,106,396,0,6482595,615,6529,6310
2016-01-30,2330,551,0,6482595,182,14865,14496, ,8,636,0,6482595,44,5937,6529
