stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
0050,2015M01,60.95,55.6,715907034,41058757370,228951,2016-01-01,59.0,60.8,-1.75
0051,2015M01,25.0,22.07,2093574,48733894,1266,2016-01-01,23.75,25.0,-1.02
0052,2015M01,37.45,0.0,909000,32473280,135,2016-01-01,37.45,37.19,37.45
0053,2015M01,25.57,23.94,1110070,27265060,281,2016-01-01,25.37,25.39,-0.63
0054,2015M01,19.83,0.0,643040,12186190,163,2016-01-01,19.41,19.83,19.41
0055,2015M01,13.04,11.14,26095368,308928422,9540,2016-01-01,11.91,13.02,-1.11
0056,2015M01,21.9,20.14,160268605,3333203284,67694,2016-01-01,21.34,21.85,-0.51
0057,2015M01,37.54,0.0,4324000,154059830,292,2016-01-01,36.52,37.54,36.52
0058,2015M01,34.95,0.0,574000,19187140,110,2016-01-01,0.0,34.95,-34.95
0059,2015M01,29.86,0.0,506204,13723660,138,2016-01-01,27.3,0.0,-3.15
0060,2015M01,27.48,0.0,340542,9059910,151,2016-01-01,26.26,27.39,-1.72
0061,2015M01,18.21,14.6,456217407,7311364476,97401,2016-01-01,14.98,18.21,-3.29
006201,2015M01,11.27,9.96,2182000,22776060,837,2016-01-01,10.73,11.24,-0.49
006203,2015M01,28.96,0.0,3356020,89411954,228,2016-01-01,27.68,0.0,27.68
006204,2015M01,40.43,0.0,1097478,42522388,262,2016-01-01,39.83,40.43,39.83
006205,2015M01,31.95,25.29,345763210,9637698924,73942,2016-01-01,25.94,31.94,-6.07
006206,2015M01,29.46,24.1,137106530,3609857493,25266,2016-01-01,24.66,29.4,-4.82
006207,2015M01,24.11,18.94,183335292,3867653646,29236,2016-01-01,19.38,24.11,-4.83
006208,2015M01,34.0,0.0,492020,15914734,226,2016-01-01,33.25,0.0,-1.43
00631L,2015M01,18.05,15.1,806333509,12962661379,149737,2016-01-01,16.92,17.92,-1.05
00632R,2015M01,21.71,19.87,1856677426,38955504212,251757,2016-01-01,20.3,19.91,0.39
00633L,2015M01,35.44,23.99,4727234885,132786466645,763795,2016-01-01,25.53,35.4,-9.92
00634R,2015M01,12.31,10.23,632623658,7206052388,67718,2016-01-01,11.85,10.24,1.64
00635U,2015M01,18.84,17.6,22192300,408468562,7264,2016-01-01,18.7,17.6,0.93
00636,2015M01,18.2,15.1,170158184,2785955856,17223,2016-01-01,15.44,18.2,-2.68
00637L,2015M01,13.08,8.89,6281904208,65363451703,668026,2016-01-01,9.48,13.04,-3.61
