date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2016-01-04,2330,台積電,TW0002330008,5928802177,20001578281,22.86,77.13,100.0,100.0,25930380458,2015-05-19,
2016-01-05,2330,台積電,TW0002330008,5934706910,19995673548,22.88,77.11,100.0,100.0,25930380458,2015-05-19,
2016-01-06,2330,台積電,TW0002330008,5948363190,19982017268,22.93,77.06,100.0,100.0,25930380458,2015-05-19,
2016-01-07,2330,台積電,TW0002330008,5968658883,19961721575,23.01,76.98,100.0,100.0,25930380458,2015-05-19,
2016-01-08,2330,台積電,TW0002330008,5969159712,19961220746,23.01,76.98,100.0,100.0,25930380458,2015-05-19,
2016-01-11,2330,台積電,TW0002330008,5970769159,19959611299,23.02,76.97,100.0,100.0,25930380458,2015-05-19,
2016-01-12,2330,台積電,TW0002330008,5980442264,19949938194,23.06,76.93,100.0,100.0,25930380458,2015-05-19,
2016-01-13,2330,台積電,TW0002330008,5971840488,19958539970,23.03,76.96,100.0,100.0,25930380458,2015-05-19,
2016-01-14,2330,台積電,TW0002330008,5975924670,19954455788,23.04,76.95,100.0,100.0,25930380458,2015-05-19,
2016-01-15,2330,台積電,TW0002330008,5948820413,19981560045,22.94,77.05,100.0,100.0,25930380458,2015-05-19,
2016-01-18,2330,台積電,TW0002330008,5951072649,19979307809,22.95,77.04,100.0,100.0,25930380458,2015-05-19,
2016-01-19,2330,台積電,TW0002330008,5950575475,19979804983,22.94,77.05,100.0,100.0,25930380458,2015-05-19,
2016-01-20,2330,台積電,TW0002330008,5959135449,19971245009,22.98,77.01,100.0,100.0,25930380458,2015-05-19,
2016-01-21,2330,台積電,TW0002330008,5960256991,19970123467,22.98,77.01,100.0,100.0,25930380458,2015-05-19,
2016-01-22,2330,台積電,TW0002330008,5950895966,19979484492,22.94,77.05,100.0,100.0,25930380458,2015-05-19,
2016-01-25,2330,台積電,TW0002330008,5943538043,19986842415,22.92,77.07,100.0,100.0,25930380458,2015-05-19,
2016-01-26,2330,台積電,TW0002330008,5947220960,19983159498,22.93,77.06,100.0,100.0,25930380458,2015-05-19,
2016-01-27,2330,台積電,TW0002330008,5945091381,19985289077,22.92,77.07,100.0,100.0,25930380458,2015-05-19,
2016-01-28,2330,台積電,TW0002330008,5933484752,19996895706,22.88,77.11,100.0,100.0,25930380458,2015-05-19,
2016-01-29,2330,台積電,TW0002330008,5913593987,20016786471,22.8,77.19,100.0,100.0,25930380458,2015-05-19,
2016-01-30,2330,台積電,TW0002330008,5909359987,20021020471,22.78,77.21,100.0,100.0,25930380458,2015-05-19,
2016-02-01,2330,台積電,TW0002330008,5886826384,20043554074,22.7,77.29,100.0,100.0,25930380458,2015-05-19,
2016-02-02,2330,台積電,TW0002330008,5884713655,20045666803,22.69,77.3,100.0,100.0,25930380458,2015-05-19,
2016-02-03,2330,台積電,TW0002330008,5852901128,20077479330,22.57,77.42,100.0,100.0,25930380458,2015-05-19,
2016-02-04,2330,台積電,TW0002330008,5852901128,20077479330,22.57,77.42,100.0,100.0,25930380458,2015-05-19,
2016-02-05,2330,台積電,TW0002330008,5852901128,20077479330,22.57,77.42,100.0,100.0,25930380458,2015-05-19,
2016-02-15,2330,台積電,TW0002330008,5851916474,20078463984,22.56,77.43,100.0,100.0,25930380458,2015-05-19,
2016-02-16,2330,台積電,TW0002330008,5833884482,20096495976,22.49,77.5,100.0,100.0,25930380458,2015-05-19,
2016-02-17,2330,台積電,TW0002330008,5819832472,20110547986,22.44,77.55,100.0,100.0,25930380458,2015-05-19,
2016-02-18,2330,台積電,TW0002330008,5786451359,20143929099,22.31,77.68,100.0,100.0,25930380458,2015-05-19,
2016-02-19,2330,台積電,TW0002330008,5775703603,20154676855,22.27,77.72,100.0,100.0,25930380458,2015-05-19,
2016-02-22,2330,台積電,TW0002330008,5759891257,20170489201,22.21,77.78,100.0,100.0,25930380458,2015-05-19,
2016-02-23,2330,台積電,TW0002330008,5756976999,20173403459,22.2,77.79,100.0,100.0,25930380458,2015-05-19,
2016-02-24,2330,台積電,TW0002330008,5754001918,20176378540,22.19,77.8,100.0,100.0,25930380458,2015-05-19,
2016-02-25,2330,台積電,TW0002330008,5739249800,20191130658,22.13,77.86,100.0,100.0,25930380458,2015-05-19,
2016-02-26,2330,台積電,TW0002330008,5732614584,20197765874,22.1,77.89,100.0,100.0,25930380458,2015-05-19,
2016-03-01,2330,台積電,TW0002330008,5724898843,20205481615,22.07,77.92,100.0,100.0,25930380458,2015-05-19,
2016-03-02,2330,台積電,TW0002330008,5709118221,20221262237,22.01,77.98,100.0,100.0,25930380458,2015-05-19,
2016-03-03,2330,台積電,TW0002330008,5692334574,20238045884,21.95,78.04,100.0,100.0,25930380458,2015-05-19,
2016-03-04,2330,台積電,TW0002330008,5691237534,20239142924,21.94,78.05,100.0,100.0,25930380458,2015-05-19,
2016-03-07,2330,台積電,TW0002330008,5691260198,20239120260,21.94,78.05,100.0,100.0,25930380458,2015-05-19,
2016-03-08,2330,台積電,TW0002330008,5685666798,20244713660,21.92,78.07,100.0,100.0,25930380458,2015-05-19,
2016-03-09,2330,台積電,TW0002330008,5672555944,20257824514,21.87,78.12,100.0,100.0,25930380458,2015-05-19,
2016-03-10,2330,台積電,TW0002330008,5658206404,20272174054,21.82,78.17,100.0,100.0,25930380458,2015-05-19,
2016-03-11,2330,台積電,TW0002330008,5642228220,20288152238,21.75,78.24,100.0,100.0,25930380458,2015-05-19,
2016-03-14,2330,台積電,TW0002330008,5623657428,20306723030,21.68,78.31,100.0,100.0,25930380458,2015-05-19,
2016-03-15,2330,台積電,TW0002330008,5614938272,20315442186,21.65,78.34,100.0,100.0,25930380458,2015-05-19,
2016-03-16,2330,台積電,TW0002330008,5601095214,20329285244,21.6,78.39,100.0,100.0,25930380458,2015-05-19,
2016-03-17,2330,台積電,TW0002330008,5569765324,20360615134,21.47,78.52,100.0,100.0,25930380458,2015-05-19,
2016-03-18,2330,台積電,TW0002330008,5538713587,20391666871,21.35,78.64,100.0,100.0,25930380458,2015-05-19,
2016-03-21,2330,台積電,TW0002330008,5525653034,20404727424,21.3,78.69,100.0,100.0,25930380458,2015-05-19,
2016-03-22,2330,台積電,TW0002330008,5518560606,20411819852,21.28,78.71,100.0,100.0,25930380458,2015-05-19,
2016-03-23,2330,台積電,TW0002330008,5507560604,20422819854,21.23,78.76,100.0,100.0,25930380458,2015-05-19,
2016-03-24,2330,台積電,TW0002330008,5502877687,20427502771,21.22,78.77,100.0,100.0,25930380458,2015-05-19,
2016-03-25,2330,台積電,TW0002330008,5502627087,20427753371,21.22,78.77,100.0,100.0,25930380458,2015-05-19,
2016-03-28,2330,台積電,TW0002330008,5494561555,20435818903,21.18,78.81,100.0,100.0,25930380458,2015-05-19,
2016-03-29,2330,台積電,TW0002330008,5488984180,20441396278,21.16,78.83,100.0,100.0,25930380458,2015-05-19,
2016-03-30,2330,台積電,TW0002330008,5472330062,20458050396,21.1,78.89,100.0,100.0,25930380458,2015-05-19,
2016-03-31,2330,台積電,TW0002330008,5462630330,20467750128,21.06,78.93,100.0,100.0,25930380458,2015-05-19,
2016-04-01,2330,台積電,TW0002330008,5460189486,20470190972,21.05,78.94,100.0,100.0,25930380458,2015-05-19,
2016-04-06,2330,台積電,TW0002330008,5475540389,20454840069,21.11,78.88,100.0,100.0,25930380458,2015-05-19,
2016-04-07,2330,台積電,TW0002330008,5479736632,20450643826,21.13,78.86,100.0,100.0,25930380458,2015-05-19,
2016-04-08,2330,台積電,TW0002330008,5481250028,20449130430,21.13,78.86,100.0,100.0,25930380458,2015-05-19,
2016-04-11,2330,台積電,TW0002330008,5485644948,20444735510,21.15,78.84,100.0,100.0,25930380458,2015-05-19,
2016-04-12,2330,台積電,TW0002330008,5489540678,20440839780,21.17,78.82,100.0,100.0,25930380458,2015-05-19,
2016-04-13,2330,台積電,TW0002330008,5466885950,20463494508,21.08,78.91,100.0,100.0,25930380458,2015-05-19,
2016-04-14,2330,台積電,TW0002330008,5466255594,20464124864,21.08,78.91,100.0,100.0,25930380458,2015-05-19,
2016-04-15,2330,台積電,TW0002330008,5466977431,20463403027,21.08,78.91,100.0,100.0,25930380458,2015-05-19,
2016-04-18,2330,台積電,TW0002330008,5472157923,20458222535,21.1,78.89,100.0,100.0,25930380458,2015-05-19,
2016-04-19,2330,台積電,TW0002330008,5476725073,20453655385,21.12,78.87,100.0,100.0,25930380458,2015-05-19,
2016-04-20,2330,台積電,TW0002330008,5486892830,20443487628,21.16,78.83,100.0,100.0,25930380458,2015-05-19,
2016-04-21,2330,台積電,TW0002330008,5475613966,20454766492,21.11,78.88,100.0,100.0,25930380458,2015-05-19,
2016-04-22,2330,台積電,TW0002330008,5467994311,20462386147,21.08,78.91,100.0,100.0,25930380458,2015-05-19,
2016-04-25,2330,台積電,TW0002330008,5465899251,20464481207,21.07,78.92,100.0,100.0,25930380458,2015-05-19,
2016-04-26,2330,台積電,TW0002330008,5465588069,20464792389,21.07,78.92,100.0,100.0,25930380458,2015-05-19,
2016-04-27,2330,台積電,TW0002330008,5472023139,20458357319,21.1,78.89,100.0,100.0,25930380458,2015-05-19,
2016-04-28,2330,台積電,TW0002330008,5484774763,20445605695,21.15,78.84,100.0,100.0,25930380458,2015-05-19,
2016-04-29,2330,台積電,TW0002330008,5515899612,20414480846,21.27,78.72,100.0,100.0,25930380458,2015-05-19,
2016-05-03,2330,台積電,TW0002330008,5564422640,20365957818,21.45,78.54,100.0,100.0,25930380458,2015-05-19,
