date,TotalExchangeMarginMaintenance
2016-01-04,150.517
2016-01-05,149.947
2016-01-06,147.875
2016-01-07,144.683
2016-01-08,147.71
2016-01-11,144.666
2016-01-12,142.265
2016-01-13,143.831
2016-01-14,142.198
2016-01-15,141.967
2016-01-18,146.218
2016-01-19,148.11
2016-01-20,144.1
2016-01-21,143.904
2016-01-22,144.774
2016-01-25,147.459
2016-01-26,146.677
2016-01-27,146.177
2016-01-28,147.44
2016-01-29,150.126
2016-02-01,151.004
2016-02-02,150.733
2016-02-03,148.898
2016-02-15,149.25
2016-02-16,152.113
2016-02-17,152.016
2016-02-18,153.507
2016-02-19,153.611
2016-02-22,154.086
2016-02-23,154.51
2016-02-24,153.435
2016-02-25,153.928
2016-02-26,154.858
2016-03-01,156.257
2016-03-02,157.47
2016-03-03,157.467
2016-03-04,159.32
2016-03-07,159.188
2016-03-08,159.256
2016-03-09,158.965
2016-03-10,159.298
2016-03-11,159.896
2016-03-14,161.676
2016-03-15,156.362
2016-03-16,159.459
2016-03-17,158.133
2016-03-18,159.085
2016-03-21,159.57
2016-03-22,158.007
2016-03-23,156.775
2016-03-24,156.04
2016-03-25,155.434
2016-03-28,153.929
2016-03-29,151.499
2016-03-30,148.349
2016-03-31,153.754
2016-04-01,152.83
2016-04-06,152.362
2016-04-07,151.341
2016-04-08,151.627
2016-04-11,151.587
2016-04-12,148.86
2016-04-13,151.207
2016-04-14,151.343
2016-04-15,151.193
2016-04-18,150.773
2016-04-19,150.18
2016-04-20,148.558
2016-04-21,149.4
2016-04-22,148.018
2016-04-25,148.384
2016-04-26,149.208
2016-04-27,148.878
2016-04-28,147.547
2016-04-29,146.194
2016-05-03,145.191
2016-05-04,143.456
2016-05-05,143.786
2016-05-06,143.249
2016-05-09,142.276
2016-05-10,143.468
2016-05-11,142.726
2016-05-12,140.879
2016-05-13,137.568
2016-05-16,141.687
2016-05-17,143.622
2016-05-18,143.491
2016-05-19,142.875
2016-05-20,143.699
2016-05-23,147.713
2016-05-24,147.368
2016-05-25,148.697
2016-05-26,148.269
2016-05-27,150.061
2016-05-30,151.411
2016-05-31,151.987
2016-06-01,152.461
2016-06-02,150.32
2016-06-03,150.278
2016-06-06,150.156
2016-06-07,150.44
2016-06-08,150.342
2016-06-13,147.72
2016-06-14,148.59
2016-06-15,148.96
2016-06-16,147.33
2016-06-17,148.139
2016-06-20,149.397
2016-06-21,150.164
2016-06-22,150.57
