"","date","stock_id","IncomeBeforeIncomeTax","NetIncome","OperatingExpenses","EPS","PreTaxIncome","IncomeFromContinuingOperations","IncomeAfterTaxes","TotalConsolidatedProfitForThePeriod","Revenue","CostOfGoodsSold","UnrealizedGain","GrossProfit","OTHNOE","OperatingIncome","TotalNonoperatingIncomeAndExpense","TAX","OtherComprehensiveIncome","EquityAttributableToOwnersOfParent","NoncontrollingInterests","RealizedGain","ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest","IncomeBeforeIncomeTax_gross_margin","NetIncome_gross_margin","OperatingExpenses_gross_margin","PreTaxIncome_gross_margin","IncomeFromContinuingOperations_gross_margin","IncomeAfterTaxes_gross_margin","TotalConsolidatedProfitForThePeriod_gross_margin","CostOfGoodsSold_gross_margin","UnrealizedGain_gross_margin","GrossProfit_gross_margin","OTHNOE_gross_margin","OperatingIncome_gross_margin","TotalNonoperatingIncomeAndExpense_gross_margin","TAX_gross_margin","OtherComprehensiveIncome_gross_margin","EquityAttributableToOwnersOfParent_gross_margin","NoncontrollingInterests_gross_margin","RealizedGain_gross_margin","ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest_gross_margin"
"1","2016-03-31",2330,72255900000,64792600000,20878997000,2.5,72255899000,64792597000,64792597000,58294435000,203495361000,112124894000,32889000,91337578000,8733000,70467314000,1788585000,7463302000,-6498162000,64781493000,11104000,NA,NA,0.355073941955856,0.318398413023283,0.102601832775932,0.355073937041739,0.318398398280932,0.318398398280932,0.286465670340269,0.550994840614573,0.000161620391926281,0.448843538993501,4.29149832069145e-05,0.346284621200775,0.00878931584096406,0.0366755387608074,-0.031932727940663,0.318343831926468,5.45663544634809e-05,NA,NA
"2","2016-06-30",2330,93406400000,72528300000,23007640000,2.79,93406391000,72528279000,72528279000,72137466000,221809846000,107468601000,7009000,114334236000,-5595000,91321001000,2085390000,20878112000,-390813000,72506321000,21958000,NA,NA,0.42111025134565,0.32698413216517,0.103726865217696,0.421110210770355,0.326984037489481,0.326984037489481,0.325222109391844,0.484507802237057,3.15991382997489e-05,0.515460598624644,-2.52243085728485e-05,0.411708509098374,0.00940170167198078,0.0941261732808741,-0.00176192809763729,0.326885042785702,9.89947037788395e-05,NA,NA
"3","2016-09-30",2330,1.0825e+11,96789100000,25840588000,3.74,108249615000,96789113000,96789113000,86678948000,260405885000,128366813000,NA,132050789000,51921000,106262122000,1987493000,11460502000,-10110165000,96759056000,30057000,-28181000,NA,0.415697210529631,0.371685532375737,0.0992319662821752,0.415695732068421,0.371685582297804,0.371685582297804,0.332860941295547,0.492948970796109,NA,0.507096024346762,0.000199384894853663,0.40806344295944,0.00763228910898077,0.0440101497706167,-0.0388246410022569,0.37157015863908,0.000115423658724149,-0.000108219520461298,NA
"4","2016-12-31",2330,1.12047e+11,1.00228e+11,27176908000,3.86,112047475000,100228247000,100228247000,106160198000,262227252000,125116865000,NA,137109495000,-25246000,109907341000,2140134000,11819228000,5931951000,100200310000,27937000,-892000,NA,0.427289685360391,0.382218092267542,0.103638762915458,0.427291496766324,0.382219034198627,0.382219034198627,0.404840447323149,0.477131434836529,NA,0.522865163533804,-9.6275271953809e-05,0.419130125346392,0.00816137141993159,0.0450724625676968,0.0226214131245215,0.382112496835379,0.000106537363248576,-3.40162966738484e-06,NA
"5","2017-03-31",2330,97822500000,87620900000,26156483000,3.38,97822499000,87620908000,87620908000,66268587000,233914400000,112428734000,NA,121489636000,19237000,95352390000,2470109000,10201591000,-21352321000,87628898000,-7990000,3970000,NA,0.418197853573786,0.374585318389975,0.111820747247711,0.418197849298718,0.37458535259052,0.37458535259052,0.283302725270441,0.480640499259558,NA,0.519376472760976,8.22394858974052e-05,0.407637964999162,0.0105598842995557,0.0436124967081975,-0.0912826273200795,0.374619510384996,-3.41577944752439e-05,1.69720205340073e-05,NA
"6","2017-06-30",2330,86117500000,66270700000,25366814000,2.56,86117467000,66270652000,66270652000,67680888000,213855212000,105101969000,40619000,108708654000,-86439000,83255401000,2862066000,19846815000,1410236000,66271019000,-367000,NA,NA,0.402690676531185,0.309885830605803,0.118616767684858,0.402690522221175,0.309885606154878,0.309885606154878,0.3164799556066,0.491463210164829,0.000189936918628852,0.508328288954678,-0.00040419403011791,0.389307327239703,0.0133831949814719,0.0928049160662963,0.00659434945172157,0.309887322269237,-1.71611435871855e-06,NA,NA
"7","2017-09-30",2330,1.00518e+11,89949200000,27536716000,3.46,100518164000,89949228000,89949228000,89045314000,252107345000,126230664000,NA,125880148000,-286999000,98056433000,2461731000,10568936000,-903914000,89925437000,23791000,-41122000,NA,0.398711112522327,0.356789287515602,0.109226155231614,0.398711763038875,0.356789398579403,0.356789398579403,0.353203965556815,0.500702048169203,NA,0.499311703909301,-0.00113839999385976,0.388947148683828,0.00976461435504785,0.0419223644594726,-0.00358543302258806,0.356695030047617,9.43685317855376e-05,-0.000163113058050728,NA
"8","2017-12-31",2330,1.11675e+11,99306100000,28841655000,3.83,111674900000,99306060000,99306060000,91330428000,277570284000,138854919000,-36066000,138747964000,-1011310000,108894999000,2779901000,12368840000,-7975632000,99286122000,19938000,NA,NA,0.402330531895122,0.35776920558254,0.103907574630719,0.402330171626009,0.357769061474895,0.357769061474895,0.329035322815752,0.500251384978948,-0.000129934658279198,0.499866059149185,-0.00364343756624899,0.392315046952216,0.0100151246737925,0.044561110151114,-0.0287337386591426,0.357697231019153,7.18304557414366e-05,NA,NA
"9","2018-03-31",2330,99943600000,89787600000,26728394000,3.46,99943621000,89787574000,89787574000,82601369000,248078671000,123103977000,NA,124857539000,-1302199000,96826946000,3116675000,10156047000,-7186205000,89784622000,2952000,-117155000,NA,0.40287058777415,0.361931961494586,0.107741604275202,0.402870672424716,0.361931856689123,0.361931856689123,0.332964412728574,0.496229589201564,NA,0.503298161412675,-0.0052491372787143,0.390307419858759,0.0125632525659572,0.0409388157355938,-0.0289674439605491,0.361919957238081,1.18994510414803e-05,-0.000472249385760374,NA
"10","2018-06-30",2330,87587600000,72293400000,26440124000,2.79,87587608000,72293375000,72293375000,91549050000,233276811000,121688707000,174325000,111530934000,-662664000,84428146000,3159462000,15294233000,19255675000,72290539000,2836000,NA,NA,0.375466381011184,0.309903927827614,0.113342273013154,0.375466415305206,0.309903820658797,0.309903820658797,0.39244813750476,0.521649393603893,0.000747288164874648,0.478105532744101,-0.00284067669289255,0.361922583038054,0.0135438322671515,0.0655625946464092,0.0825443168459637,0.309891663428132,1.21572306644744e-05,NA,NA
"11","2018-09-30",2330,98896900000,89098100000,28128452000,3.44,98896942000,89098072000,89098072000,85217066000,260347882000,136967039000,14203000,123366640000,6993000,95245181000,3651761000,9798870000,-3881006000,89071628000,26444000,NA,NA,0.379864430777278,0.342227097511014,0.108041793095901,0.379864592099889,0.342226989962607,0.342226989962607,0.327319989490062,0.526092388183899,5.4553929499607e-05,0.473853057886601,2.68602146723053e-05,0.365838125005373,0.0140264670945163,0.0376376021372818,-0.0149070004725447,0.342125418174134,0.000101571788473393,NA,NA
"12","2018-12-31",2330,1.11082e+11,1.00005e+11,30852310000,3.85,111082092000,100005385000,100005385000,101653897000,289770193000,151727793000,-76740000,138119140000,-143579000,107123251000,3958841000,11076707000,1648512000,99984095000,21290000,NA,NA,0.383345156553076,0.345118312427669,0.106471648034551,0.383345474046049,0.34511964106674,0.34511964106674,0.350808673409691,0.523614217974449,-0.000264830551429422,0.476650612576981,-0.000495492647168165,0.369683471895262,0.0136620021507871,0.0382258329793085,0.00568903234295047,0.345046169051625,7.3472015115095e-05,NA,NA
"13","2019-03-31",2330,68181700000,61387300000,26018013000,2.37,68181652000,61387310000,61387310000,66003296000,218704469000,128352344000,NA,90357557000,-73521000,64266023000,3915629000,6794342000,4615986000,61393851000,-6541000,5432000,NA,0.311752660161691,0.280686079624646,0.118964249422814,0.311752440687437,0.280686125348449,0.280686125348449,0.301792168682205,0.586875725891088,NA,0.413149111278563,-0.000336165970161314,0.293848695885588,0.0179037448018495,0.0310663153389883,0.0211060433337556,0.280716033287825,-2.99079393754867e-05,2.48371696510692e-05,NA
"14","2019-06-30",2330,80545400000,66775900000,27164995000,2.57,80545440000,66775851000,66775851000,70301871000,240998475000,137325245000,0,103730060000,-261012000,76304053000,4241387000,13769589000,3526020000,66764850000,11001000,56830000,NA,0.334215392856739,0.277080176544686,0.112718534837202,0.334215558832893,0.277079973223897,0.277079973223897,0.29171085418694,0.569817900299992,0,0.430417910320802,-0.00108304419768631,0.316616331285914,0.0175992275469793,0.0571355856089961,0.0146308809630434,0.277034325632144,4.56475917534333e-05,0.000235810620793347,NA
"15","2019-09-30",2330,1.12336e+11,1.01102e+11,31378953000,3.9,112336271000,101102454000,101102454000,97877579000,293045439000,153613278000,0,139412434000,-146189000,107887292000,4448979000,11233817000,-3224875000,101069886000,32568000,-19727000,NA,0.3833398683267,0.345004516518,0.10707879674592,0.38334079309796,0.345006065765794,0.345006065765794,0.334001373077163,0.524196105983414,0,0.475736576811216,-0.000498861202204208,0.368158918863091,0.0151818742348691,0.0383347273321664,-0.0110046926886311,0.344894929417414,0.00011113634838043,-6.73172053703248e-05,NA
"16","2019-12-31",2330,1.28782e+11,1.16078e+11,34942621000,4.48,128781973000,116078194000,116078194000,99337501000,317237065000,157996080000,-3395000,159201845000,-15502000,124243722000,4538251000,12703779000,-16740693000,116035081000,43113000,NA,NA,0.40594878155237,0.365903019560467,0.110146716305045,0.405948696442517,0.365903631090522,0.365903631090522,0.313133337682342,0.498037894783827,-1.07017759731197e-05,0.501838727451346,-4.88656645464804e-05,0.391643145481755,0.0143055509607618,0.0400450653519947,-0.0527702934081804,0.365767729568422,0.000135901522099885,NA,NA
