date,time,TAIEX
2016-01-04,13:30:00,8114.26
2016-01-05,13:30:00,8075.11
2016-01-06,13:30:00,7990.39
2016-01-07,13:30:00,7852.06
2016-01-08,13:30:00,7893.97
2016-01-11,13:30:00,7788.42
2016-01-12,13:30:00,7768.45
2016-01-13,13:30:00,7824.61
2016-01-14,13:30:00,7742.88
2016-01-15,13:30:00,7762.01
2016-01-18,13:30:00,7811.18
2016-01-19,13:30:00,7854.88
2016-01-20,13:30:00,7699.12
2016-01-21,13:30:00,7664.01
2016-01-22,13:30:00,7756.18
2016-01-25,13:30:00,7894.15
2016-01-26,13:30:00,7828.67
2016-01-27,13:30:00,7849.83
2016-01-28,13:30:00,7905.1
2016-01-29,13:30:00,8080.6
2016-01-30,13:30:00,8145.21
2016-02-01,13:30:00,8156.96
2016-02-02,13:30:00,8131.24
2016-02-03,13:30:00,8063
2016-02-15,13:30:00,8066.51
2016-02-16,13:30:00,8212.07
2016-02-17,13:30:00,8214.25
2016-02-18,13:30:00,8314.67
2016-02-19,13:30:00,8325.04
2016-02-22,13:30:00,8326.68
2016-02-23,13:30:00,8334.64
2016-02-24,13:30:00,8282.86
2016-02-25,13:30:00,8365.86
2016-02-26,13:30:00,8411.16
2016-03-01,13:30:00,8485.69
2016-03-02,13:30:00,8544.05
2016-03-03,13:30:00,8611.79
2016-03-04,13:30:00,8643.55
2016-03-07,13:30:00,8659.55
2016-03-08,13:30:00,8664.31
2016-03-09,13:30:00,8634.11
2016-03-10,13:30:00,8660.7
2016-03-11,13:30:00,8706.14
2016-03-14,13:30:00,8747.9
2016-03-15,13:30:00,8611.18
2016-03-16,13:30:00,8699.14
2016-03-17,13:30:00,8734.54
2016-03-18,13:30:00,8810.71
2016-03-21,13:30:00,8812.7
2016-03-22,13:30:00,8785.68
2016-03-23,13:30:00,8766.09
2016-03-24,13:30:00,8743.38
2016-03-25,13:30:00,8704.97
2016-03-28,13:30:00,8690.45
2016-03-29,13:30:00,8617.35
2016-03-30,13:30:00,8737.04
2016-03-31,13:30:00,8744.83
2016-04-01,13:30:00,8657.55
2016-04-06,13:30:00,8513.3
2016-04-07,13:30:00,8490.25
2016-04-08,13:30:00,8541.5
2016-04-11,13:30:00,8562.59
2016-04-12,13:30:00,8531.18
2016-04-13,13:30:00,8652.08
2016-04-14,13:30:00,8667.71
2016-04-15,13:30:00,8700.39
2016-04-18,13:30:00,8666.01
2016-04-19,13:30:00,8633.72
2016-04-20,13:30:00,8514.48
2016-04-21,13:30:00,8568.65
2016-04-22,13:30:00,8535.75
2016-04-25,13:30:00,8560.28
2016-04-26,13:30:00,8581.57
2016-04-27,13:30:00,8563.05
2016-04-28,13:30:00,8473.87
2016-04-29,13:30:00,8377.9
2016-05-03,13:30:00,8294.12
2016-05-04,13:30:00,8185.47
2016-05-05,13:30:00,8167.96
2016-05-06,13:30:00,8146.43
2016-05-09,13:30:00,8131.83
2016-05-10,13:30:00,8156.29
2016-05-11,13:30:00,8135.56
2016-05-12,13:30:00,8108.05
2016-05-13,13:30:00,8053.69
2016-05-16,13:30:00,8067.6
2016-05-17,13:30:00,8140.48
2016-05-18,13:30:00,8159.68
2016-05-19,13:30:00,8095.98
2016-05-20,13:30:00,8131.26
2016-05-23,13:30:00,8344.44
2016-05-24,13:30:00,8300.66
2016-05-25,13:30:00,8396.2
2016-05-26,13:30:00,8394.12
2016-05-27,13:30:00,8463.61
2016-05-30,13:30:00,8535.87
2016-05-31,13:30:00,8535.59
2016-06-01,13:30:00,8597.16
2016-06-02,13:30:00,8556.02
2016-06-03,13:30:00,8587.36
2016-06-04,13:30:00,8591.57
2016-06-06,13:30:00,8597.11
2016-06-07,13:30:00,8679.9
2016-06-08,13:30:00,8715.48
2016-06-13,13:30:00,8536.22
2016-06-14,13:30:00,8576.12
2016-06-15,13:30:00,8606.37
2016-06-16,13:30:00,8494.14
2016-06-17,13:30:00,8568.08
2016-06-20,13:30:00,8625.92
2016-06-21,13:30:00,8684.85
2016-06-22,13:30:00,8716.25
2016-06-23,13:30:00,8676.68
2016-06-24,13:30:00,8476.99
2016-06-27,13:30:00,8458.87
2016-06-28,13:30:00,8505.51
2016-06-29,13:30:00,8586.56
2016-06-30,13:30:00,8666.58
2016-07-01,13:30:00,8738.24
2016-07-04,13:30:00,8760.58
2016-07-05,13:30:00,8716.07
2016-07-06,13:30:00,8575.75
2016-07-07,13:30:00,8640.91
2016-07-11,13:30:00,8786.47
2016-07-12,13:30:00,8841.46
2016-07-13,13:30:00,8857.75
2016-07-14,13:30:00,8866.36
2016-07-15,13:30:00,8949.85
2016-07-18,13:30:00,9008.21
